DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
7/11/10 22:00	Upper Freehold Township	NJ	Rectangle	15 seconds	High speed illuminated object traveling above treetops.	11/21/10	40.1222190857,-74.5212478638	
7/10/10 22:30	Washington	NJ	Light	1.30	Bright light rockets into space after gliding above myself and fellow companions.	7/19/10	40.759311676,-74.9754104614	
7/10/10 22:17	Clark	NJ	Cigar	Less than 1 minute	Cigar shaped brightly lit craft glided well below a departing airplane.	7/19/10	40.6283187866,-74.3144607544	
7/10/10 01:52	West Milford	NJ	Light	30 seconds	I don't care if people believe me I am just telling a true story that I'm freaking out over (all I watch are space shows)	11/21/10	41.134311676,-74.36743927	
7/4/10 23:00	Cherry Hill	NJ	Triangle	4 minutes	orange lights	7/19/10	39.9275016785,-75.0305480957	
7/4/10 21:42	Belford	NJ	Disk	10 sec.	speeding object followed by a second object three minutes later with red glow	7/6/10	40.4189109802,-74.0860366821	
7/4/10 21:30	Swedesboro	NJ	Teardrop	2 minutes	One red fireball, and seemingly teardrop shaped object.	7/10/10	39.7475395203,-75.3106002808	
7/4/10 21:00	Toms River	NJ	Fireball	3 MINS.	Two brilliant orange colored objects engulfed in a flame-like orange glow.	7/6/10	39.9528808594,-74.1937713623	
7/3/10 21:15	Red Bank	NJ	Changing	30 minutes	Unknown Self luminous Red Obj obve fireworks display	8/24/10	40.3492012024,-74.0701370239	
7/3/10 19:00	Phillipsburg	NJ	Fireball	1 Hour	50 Red Fireballs flying over NJ.	8/24/10	40.6945610046,-75.1982269287	
7/2/10 21:15	Hamilton	NJ	Sphere	15 minutes	Lights in the sky during Fireworks show July 2, 2010	7/10/10	40.1001396179,-74.4002456665	
7/2/10 10:15	Wanaque/Oakland	NJ	Oval	5 seconds	Pulsating light blue orb falling straight down to the ground.	7/19/10	41.0350723267,-74.2948608398	
7/1/10 23:00	Rutherford	NJ	Fireball	30 seconds	Starships.  ((NUFORC Note:  Possibly satellites.  PD))	7/10/10	40.8255882263,-74.1087417603	
7/1/10 17:30	Cape May	NJ	Cylinder	30 seconds	highly reflective cylinder	3/10/11	38.9352416992,-74.9215927124	
6/24/10 21:15	Eatontown	NJ	Fireball	2 seconds	Bright, very brief streak of light on Rt 18 North Near Eatontown.  ((NUFORC Note:  Possible meteor??  PD))	7/6/10	40.3051300049,-74.0587005615	
6/23/10 20:04	Kendall Park	NJ	Oval	2 minutes	I looked to the right of my backyard and saw a oval shaped object in the sky	11/21/10	40.4374389648,-74.5379562378	
6/21/10 23:00	Trenton	NJ	Triangle	30 minutes	green lights moving at high speed over trenton new jersey.	6/23/10	40.2178688049,-74.7593994141	
6/18/10 22:15	Cape May Courthouse	NJ	Unknown	three minutes	object with one flashing white light flying very erratically moves impossibly fast in impossible fashion	6/23/10	39.0834617615,-74.826461792	
6/16/10 22:30	Cape May Courthouse	NJ	Disk	several seconds	dimly lit disc shaped object flying east to west makes a hard 70degree turn at unimaginable speed	6/23/10	39.0834617615,-74.826461792	
6/14/10 22:15	Hewitt	NJ	Light	30 seconds	White spec of light high up in sky that brightly flashes & disappears	7/6/10	41.1419715881,-74.3120193481	
6/2/10 22:00	Jersey City	NJ	Light	1 minute	I saw an erratic flying object with a red blinking light. It was traveling west to east in the northern sky. It flew straight for a sho	6/10/10	40.7173995972,-74.0432281494	
5/20/10 21:40	Springfield	NJ	Triangle	10 minutes	Two of us saw a very large UFO for 10 minutes,not moving and silent.	6/3/10	40.7045402527,-74.3174819946	
5/15/10 21:30	Somers Point	NJ	Light	45 seconds	I went outside to look at Venus and the Crescent Moon and caught a look at a light that appeared to be an airplane.  I followed the lig	6/3/10	39.3128700256,-74.5966033936	
5/15/10 20:30	West Trenton	NJ	Light	1 hour	Static bright light witnessed on two separate nights.  ((NUFORC Note:  If in the NW sky, probably Venus.  PD))	7/19/10	40.260269165,-74.8202209473	
5/15/10 19:45	Bayonne	NJ	Light	15 seconds	A strange light/object that accelerated and changed altitude suddenly.	6/3/10	40.6687316895,-74.1174926758	
5/10/10 21:00	Knowlton	NJ	Light	40 minutes	~A close friend and I were outside; observed a bright object in the sky.  ((NUFORC Note:  Venus?  PD)	5/12/10	40.9304084778,-75.029006958	
5/9/10 20:30	Pleasantville	NJ	Light	15 minutes	Star-like object in the sky.	5/12/10	39.3928413391,-74.5234680176	
5/9/10 20:30	Pleasantville	NJ	Light	15 Minutes	Lights in the Sky	5/12/10	39.3928413391,-74.5234680176	
5/2/10 19:45	Howell	NJ	Circle	2 min	Round ,Black and silent	5/12/10	40.1546592712,-74.2307281494	
4/24/10 23:50	Cranford	NJ	Light	30 minutes+	We saw the government reaction to the lights after seeing the lights.  ((NUFORC Note:  This may not be a serious-minded report.  PD))	5/12/10	40.65599823,-74.3062896729	
4/23/10 15:40	Westwood	NJ	Other	30 seconds	Pyramidal Craft over Westwood NJ	5/12/10	40.9919891357,-74.0356369019	
4/13/10 22:45	Jersey City	NJ	Light	Three Seconds	A light appeared and shot across a small portion of the sky over the statue of liberty in an arc and then disappeared.	5/12/10	40.7173995972,-74.0432281494	
3/31/10 20:00	Annandale	NJ	Light	5 min	star like light that moved and changed directions in hunterdon county, NJ	4/13/10	40.6408004761,-74.8817672729	
3/19/10 22:20	Branchburg	NJ	Triangle	2 seconds	I saw a blueish/greenish triangular shaped object flying for 2 seconds west over Route 22 in Branchburg NJ before disappearing.	4/13/10	40.5714416504,-74.6857528687	
3/19/10 19:00	Mays Landing	NJ	Unknown	On going	Points of light in the night sky moving erratically and pulsing.  ((NUFORC Note:  Possible stars??  PD))	4/13/10	39.4519004822,-74.7267990112	
3/19/10 11:34	Sewell	NJ	Diamond	2	a green light zoomed across the sky making no noise	4/13/10	39.7663917542,-75.1481933594	
3/19/10 10:00	Florence	NJ	Light	fast	fast green downward	4/13/10	40.1200218201,-74.8052368164	
