DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
1/10/09 19:30	Williston (seen from; to NE)	VT	Circle	20-30 Seconds	2 bright orange lights above horizon with possible smoke trail above them appeared stationary	3/19/09	44.4383888245,-73.0725021362	
12/25/08 20:45	South Burlington	VT	Light	30 minutes	flashing light in sky.  ((NUFORC Note:  Possible sighting of Sirius?  PD))	1/10/09	44.4546813965,-73.1789932251	
12/25/08 03:46	Melbourne	VT	Formation	5 mins each sighting	in my oppinion large object was under attack also spotted space junk one flash of orange light took off like commet	1/10/09	43.0450515747,-72.8184432983	
10/2/08 19:50	Westminster West/ Putney border	VT	Disk	About 10 minutes	Hovered for about 10 minutes shifting left to right very quickly; not illuminated by lights- reflective underside making it visible.	1/10/09	44.0752105713,-72.6627502441	
10/2/08 19:50	Westminster West/ Putney border	VT	Disk	About 10 minutes	Craft sighting in Westminster West, Vermont on 10/02/2008	1/10/09	44.0752105713,-72.6627502441	
9/25/08 20:00	Bradford	VT	Unknown	15 sec	four large reddish orange lights for about 15 sec. then just vanished	10/31/08	43.9928398132,-72.1282730103	
9/25/08 00:30	Starksboro	VT	Triangle	2.5min	huge low flying craft.	10/31/08	44.2391586304,-73.0579986572	
9/17/08 20:30	Franklin	VT	Unknown	current	Flickering stationary light in sky, upon looking with binoculars also has red, blue, (?green) pulsating lights.	10/31/08	44.9816589355,-72.9156112671	
9/14/08 03:45	East Dover	VT	Circle	till i  stoped looking	nite round bright light  bouncing all over sky,week or so later daytime black sphere speeding threw sky	10/31/08	42.9510612488,-72.7708969116	
9/3/08 22:00	Windhall	VT	Oval	2 minutes	A glowing neon oval shape	10/31/08	43.1797790527,-72.7258224487	
5/28/08 01:41	Burlington	VT	Diamond		((HOAX??))  the object was movig slow too slow.	6/12/08	44.4759216309,-73.2132263184	
5/5/08 22:30	Roxbury	VT	Triangle	1-2 minutes	me and my friend saw two yellowich lights pulsating and, when it was on hovering above us, they changed to 3triangularyspacedbluelights	6/12/08	44.0921096802,-72.7335205078	
5/5/08 05:07	Calais	VT	Light	2 Minutes	Moving bright white light moving north to south over Calais, VT	6/12/08	44.3797798157,-72.4916000366	
4/15/08 20:30	St. Albans	VT	Light	15-20 minutes	Unidentifiable light, disappeared.	4/17/08	44.8130187988,-73.0830307007	
4/7/08 16:00	Ferrisburgh	VT	Light	7 minutes	Very bright light in sky that turned orange before dimming out	6/12/08	44.2030487061,-73.2471694946	
2/26/08 17:42	Marlboro	VT	Unknown	30 seconds	Strange objects emerge from clouds	3/4/08	42.8587989807,-72.7292022705	
12/30/07 01:00	Braintree	VT	Circle	10 minutes	Another bright bright lite in sky	3/4/08	43.9701004028,-72.7468185425	
12/27/07 04:25	Braintree	VT	Unknown	30 minutes	Craft with 5 rectangular openings that emitted white light seen in Braintree sky.   ((NUFORC Note:  Possible hoax??  PD))	3/4/08	43.9701004028,-72.7468185425	
12/14/07 23:00	Braintree	VT	Disk	30 minutes	Flying saucer like object with  several yellow lights/blinking red light seen near Braintree, VT.  ((NUFORC Note:  Hoax??  PD))	3/4/08	43.9701004028,-72.7468185425	
12/10/07 19:13	Worcester	VT	Sphere	1:15	7:00 pm Dec. 10 2007  I am weather forecaster meteorologist with two decades plus of experience observing. I work for a radio station i	3/4/08	44.3691291809,-72.5516662598	
12/10/07 16:45	Barre	VT		5 minutes	Comet-like object moving very slowly east over Barre, Vermont	3/4/08	44.1968917847,-72.5014724731	
11/15/07 23:30	Braintree	VT	Circle	45 minutes	Pulsating bright light in SE sky.  ((NUFORC Note:  Possible hoax??  PD))	3/4/08	43.9701004028,-72.7468185425	
10/31/07 07:25	Milton	VT	Cigar		UFO sighted in Milton, Vermont.  ((NUFORC Note:  Possible meteor??  PD))	11/28/07	44.6385307312,-73.1134872437	
9/25/07 17:30	Eden Mills	VT	Formation	3 minutes	Unidentified slowly moving Mobile Object flew north from Lake Eden, Vermont	10/8/07	44.7146186829,-72.5168609619	
9/8/07 20:45	Hyde Park	VT	Light	1 Min	Steady light suddelly brightened and steaked across the sky.	10/8/07	44.5965614319,-72.6144104004	
9/5/07 13:15	Colbyville	VT	Disk		Flying object above Colbyville VT	10/8/07	44.3499412537,-72.7428131104	
8/23/07 15:00	Stowe	VT	Cigar	1 minute	Cigar shaped ufo flying at 300 feet over my house and emiting a bright orange light.	11/21/10	44.4653396606,-72.6850814819	
8/3/07 00:00	Bennington	VT	Other	10 seconds	bright shooting light, slowly fades away.	10/8/07	42.8787307739,-73.1971130371	
6/23/07 22:20	North Pownal	VT	Oval	3 minute	The object traveled in a direct path.	8/7/07	42.8050804138,-73.2666625977	
6/23/07 09:45	Rutland	VT	Disk	10 seconds	very thin black disk with very well rounded shape, clear as day  floats effortlessly and turns on sides  in sky ,	8/7/07	43.605091095,-72.9782791138	
