DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
1/3/07 22:30	Nebraska (rural)	NE	Light	3 sec.	Very bright , neon green light appeared in sky for seconds, then vanished.  Happened during blackout.	2/1/07	40.6771392822,-95.8589019775	
12/8/06 06:15	Omaha	NE	Sphere	60 -80 seconds	Silver ball hovering over street/ shot up	12/14/06	41.2606887817,-95.9405899048	
11/18/06 23:30	Elkhorn	NE	Triangle	5 sec.	V shaped object wih dim lit circles	12/7/06	41.2846183777,-96.2378005981	
10/15/06 23:00	Lincoln	NE	Triangle	5 minutes	triangle craft	3/19/09	40.813621521,-96.7077407837	
10/13/06 21:15	Omaha	NE	Light	25sec.	Group of  very dim lites-moving North to South   NO shape was defined!!!	10/30/06	41.2606887817,-95.9405899048	
10/4/06 01:00	Omaha	NE	Flash	ongoing	white flashes and red laser beams	12/7/06	41.2606887817,-95.9405899048	
9/4/06 21:30	Omaha	NE	Light	1 minute	White light flies over Omaha	10/30/06	41.2606887817,-95.9405899048	
8/29/06 20:35	Lincoln	NE	Light	1 minute	I tracked a brilliant orange pulsating light moving slowly and silently for a minute, then saw it disappear.	10/30/06	40.813621521,-96.7077407837	
8/20/06 22:12	Omaha	NE	Unknown	4-5min.	10:05p.m.in driveway witnessed strobing red/white lights moving from n.w to east in manner unlike no aircraft	10/30/06	41.2606887817,-95.9405899048	
8/18/06 21:10	Scottsbluff	NE	Light	1½ min.- 2½ mins	Western Nebraska white-blue round light	10/30/06	41.8617706299,-103.662757874	
8/15/06 16:00	Malcolm	NE	Sphere	15 minutes	Daytime sighting of large, unmoving, silent sphere that blended with sky & clouds near Lincoln Nebraska in August, 2006	6/23/10	40.9076499939,-96.864692688	
8/1/06 10:00	Bellevue	NE	Changing	A few minutes	Shape-Changing Aircraft	10/30/06	41.1364707947,-95.8930130005	
7/21/06 23:00	Lincoln	NE	Oval	4-6 seconds	Bright, bluish-white glowing oval shoots rapidly and silently across the night sky	10/30/06	40.813621521,-96.7077407837	
7/15/06 13:30	Osmond	NE	Oval	20minutes	oval shape, bright blue in color with a flashing white light on one end only and silent, able to hover.	2/1/07	42.3592605591,-97.5969085693	
7/4/06 22:00	Omaha	NE	Light	15 mins	VERY similar observation as Standing Bear Park from March 4th	3/31/08	41.2606887817,-95.9405899048	
5/24/06 23:20	Beaver Lake	NE	Light	5 minutes	Light in the sky south of offutt AFB	7/16/06	42.4596481323,-100.671089172	
5/13/06 22:15	Lincoln	NE	Light	Approx 1-2 min	Bright light that changed in intensity and emitted flare-like objects as it traveled towards me.	5/15/06	40.813621521,-96.7077407837	
5/6/06 23:00	Omaha	NE	Triangle	2 minutes	Triangular-shaped, low-flying aircraft hovering over Omaha city street.	5/15/06	41.2606887817,-95.9405899048	
5/2/06 01:00	Omaha	NE	Oval	2 Hours	Troubles With Unexplained Laser Beams	5/15/06	41.2606887817,-95.9405899048	
4/16/06 20:05	Exeter	NE	Fireball	5 seconds that I saw	A reddish pink glow in sky, seemed to be moving towards us and then dissappeared.	5/15/06	40.6404800415,-97.4498901367	
4/7/06 23:45	Omaha	NE	Triangle	15 minutes	UFO seen as low as 65 feet!!!!!!	5/15/06	41.2606887817,-95.9405899048	
3/31/06 21:10	Lincoln	NE	Light	2 1/2 minutes	Two yellow lights trailing dropping sparks seen heading slowly south over Lincoln, NE	5/15/06	40.813621521,-96.7077407837	
3/31/06 20:50	Lincoln	NE	Light	10-15 min	It was at night so all that was visible were two yellow to orange lights that were side by side, the distance between them is unknown.	5/15/06	40.813621521,-96.7077407837	
3/26/06 15:00	Interstate 80/I-76;  into Colorado begins (	NE	Other	3-4 min	While traveling west heading for Colorado, my husband spotted what looked like a round object in the northern sky. He pointed it out, a	12/12/09	41.5271110535,-99.8106765747	
3/22/06 21:54	Lincoln	NE	Light	5	TWO LIGHTS CRUSING SOUTH ABOUT AIRCRAFT SPEED.FIRST LIGHT DROPPED FLARE.FADED AWAY.SECOND LIGHT CUISED SOUTH.DROPPED FL	5/15/06	40.813621521,-96.7077407837	
11/20/05 22:15	Bellevue	NE	Fireball	5 seconds	Large, bright, Green Fireball Object was seen falling from sky, disappeared after 5 seconds	12/16/05	41.1364707947,-95.8930130005	
10/22/05 19:00	Grand Island	NE	Rectangle	3sec	Blue rectangle stationary to gone in 3 sec. near total darkness in evening.	11/3/05	40.9247398376,-98.3398971558	
9/21/05 05:45	Albion (rural)	NE	Flash	5-10 seconds	Unexplained bright light in early morning hours	10/11/05	41.6933708191,-98.0039291382	
9/13/05 19:45	Waverly	NE	Light	approx. 5 min	bright ufo passes military plane	10/11/05	40.9184188843,-96.5289993286	
9/10/05 08:15	McCook	NE	Circle	NOW	The light moved through the sky then stopped and is still sitting there. Its in the south west sky, more west than south. It still ther	10/11/05	40.198589325,-100.62525177	
8/5/05 22:44	Omaha	NE	Light	3-4 minutes	Apparent intercept of unidentifed 'satellite' by second object.	9/2/05	41.2606887817,-95.9405899048	
5/21/05 00:30	Lincoln	NE	Changing	20 minutes	Lights over Lincoln, NE 5-21-06	10/30/06	40.813621521,-96.7077407837	
4/7/05 21:00	Omaha	NE	Diamond	25 minutes	Diamond shape craft above the horizon.	7/13/05	41.2606887817,-95.9405899048	
3/31/05 13:00	Omaha	NE	Disk	30 Seconds	White disc sighted while driving in Omaha.	4/16/05	41.2606887817,-95.9405899048	
3/27/05 00:00	Omaha	NE	Fireball	2 seconds	day-glo fireball	4/16/05	41.2606887817,-95.9405899048	
3/15/05 01:00	Las Vegas (?)	NE	Other	unknown	four orbed object in the middle of nowhere, possibly nevada[?]	5/15/06	41.5271110535,-99.8106765747	
2/26/05 17:55	Lincoln	NE	Changing	3 minutes	black object moving slowly in broad daylight suddenly disappears	4/16/05	40.813621521,-96.7077407837	
1/31/05	Wood River	NE	Oval		Bright oval shaped object picking up a cow.	2/8/05	40.9313087463,-98.2859573364	
1/13/05 05:50	Lincoln	NE	Formation	approx. 10 min.	moving constillation, plus	1/19/05	40.813621521,-96.7077407837	
12/8/04 23:33	Henderson	NE	Formation	6 sec.	3 gold colored  connected lights very large moving East to West	12/14/04	40.7806091309,-97.806968689	
12/4/04	Papillion	NE	Other	3 seconds	At 9:30 pm a whiteish blue light swiftly flew over my car, and it was to low to be an aircraft, and it made no noise	12/14/04	41.1569519043,-96.0429382324	
12/3/04 20:30	Hershey	NE	Rectangle	5 Minutes	Spinning and sliding sideways group of light that were Rectanglure in shape	12/14/04	41.1580886841,-101.002433777	
12/1/04 23:00	Lincoln	NE	Fireball	2-3 seconds	Massive fireball over Lincoln, Nebraska.	2/22/05	40.813621521,-96.7077407837	
10/30/04 21:01	Lincoln	NE	Other	16 mins	Two red lights.  It was like they were on each end of a bar and just moving slowly from the east sky to the south sky and faded as they	12/3/04	40.813621521,-96.7077407837	
10/19/04 20:00	Grand Island	NE	Light	over 1 hr.		11/2/04	40.9247398376,-98.3398971558	
10/15/04 01:40	Oakland	NE	Cone	12min	A coworker and I saw a cone shaped object hoover for awhile and with a glow to it then alittle explosion happened and it was gone.	10/27/04	41.8362083435,-96.4634094238	
10/9/04 22:00	Omaha	NE	Triangle	about 3 minutes	Three white lights in a triangle formation moving west over Omaha	10/27/04	41.2606887817,-95.9405899048	
9/15/04 21:00	Omaha	NE	Sphere	12 sec	((NUFORC Note:  Possible satellites??  PD))  A star like object that grew bright white and or Amber.	5/24/05	41.2606887817,-95.9405899048	
9/9/04 21:05	Lincoln	NE	Unknown	5-10 minutes	Multiple, flashing white lights along south edge of Lincoln, NE.	9/29/04	40.813621521,-96.7077407837	
8/24/04 22:00	Springview	NE	Light	20 minutes	Orange and white lights, moving quickly horizontally	9/1/04	42.8234786987,-99.7487869263	
8/22/04 10:55	Falls City	NE	Triangle	30-45 sec	Huge!	8/24/04	40.0587310791,-95.6011886597	
