DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
9/29/04 02:30	Washington, D.C.	DC	Circle	10 minutes	circular disc coming to a slight point-like the bottom of a top, only flatter-lights pointing at Andrews Air Force Base or Reagan Nat'l	7/13/05	38.8951118,-77.0363658	
8/31/04 15:39	Washington, D.C.	DC	Cigar	Five seconds	Cigar-shaped craft over Washington, D.C.	9/1/04	38.8951118,-77.0363658	
7/17/04 18:10	Washington, D.C.	DC	Flash	Split second	Bright flash of light exploding off the horizon into space - Washington, DC	7/25/04	38.8951118,-77.0363658	
5/25/04 08:10	Washington, D.C.	DC	Other	10 seconds	Craft with bright white lights motionless over Southwest Washington D.C.	6/4/04	38.8951118,-77.0363658	
5/21/04 22:42	Washington, D.C.	DC	Light	five minutes	Lights moving in a counterclockwise oval pattern	6/4/04	38.8951118,-77.0363658	
3/13/04 18:30	Washington, D.C.	DC	Disk	less than one minute?	I am not the witness to this sighting.  My sister mentioned that a lady in her office saw the UFO along with her husband while in their	4/27/04	38.8951118,-77.0363658	
3/2/04 20:30	Washington, D.C.	DC	Light	1 minute	A "formation" of about 20 pale lights moved slowly across the Washington, D.C. evening sky.	3/23/04	38.8951118,-77.0363658	
11/30/03 16:00	Washington, D.C.	DC	Light	10 seconds	Bright light that was stationary and moved and light became smaller over a 10 sec period untill it vanashed	12/9/03	38.8951118,-77.0363658	
11/21/03 16:00	na	DC		15 minutes	USO seen my military coming up out of the water.	3/4/08	38.8892786,-77.0499772	
7/22/03 21:15	Washington, D.C.	DC	Chevron	2 minutes	Chevron-shaped craft gliding over Washington, D.C.	7/23/03	38.8951118,-77.0363658	
6/10/03	Caracas (Venezuela)	DC	Oval	20 mn	huge black oval shaped flying object , hollow in its center	10/20/05	
1/27/03 02:30	Washington, D.C.	DC	Light	1 hour	Light hovering in sky that jerked and wobbled about, surrounded by brief flashes of light	2/5/03	38.8951118,-77.0363658	
12/8/02 16:55	Washington, D.C.	DC	Disk		Disk	12/23/02	38.8951118,-77.0363658	
11/19/02 05:25	Washington, D.C.	DC	Triangle	30 seconds	Three orange triangular lights in the Washington, DC sky during the Leonids.	12/23/02	38.8951118,-77.0363658	
9/8/02 20:00	Washington, D.C. (Georgetown)	DC	Rectangle	30 min	Red white and green rectangular object tilted rhythmically while moving horizontally above the Potomic River.	9/13/02	38.8951118,-77.0363658	
7/31/02 16:45	Washington, D.C. (Roosevelt Island Area)	DC	Changing	5 -6 seconds	Red Object Hovering in Sky Over Washington, DC on July 31, 2002	9/6/02	38.8951118,-77.0363658	
7/26/02 01:00	Washington, D.C.	DC			while listening to pbs on sat early am news I heard this report: of 2 fighter jets scrambled over dc due to an unidentified aircraft sh	9/6/02	38.8951118,-77.0363658	
7/26/02 01:00	Washington, D.C.	DC	Circle	UNKNOWN	Military Jets scrambled and chased unknown flying object	9/6/02	38.8951118,-77.0363658	
7/25/02 00:30	Washington, D.C.	DC	Light	5 minutes	coloured moving lights over washington	5/15/06	38.8951118,-77.0363658	
7/20/02 19:15	Washington, D.C.	DC	Fireball	2 minutes	Green Object in the Night sky over the nations capital	9/6/02	38.8951118,-77.0363658	
7/16/02 01:30	Washington, D.C.	DC	Sphere	45 seconds	On July 16, 2002 at 1:30 am, I went to photograph a building called the Carpenters Building. It had started to rain, and I didn't want 	9/6/02	38.8951118,-77.0363658	
6/6/02 19:00	Washington, D.C.	DC	Changing	20 minutes	Strange, yellowish light spinning behind President Bush's head during 6/6/02 speech	9/6/02	38.8951118,-77.0363658	
6/6/02 18:08	Washington, D.C.	DC	Light	35 approx.	UFO sighting during President speech	6/12/02	38.8951118,-77.0363658	
12/14/01 23:30	Washington, D.C.	DC	Triangle	1-2 minutes	Three lights in a triangular formation being followed by a smaller light.	9/6/02	38.8951118,-77.0363658	
9/11/01 09:00	Washington, D.C.	DC	Circle	1 min	Small orbs circle the pentagon on Sept 11th	7/16/06	38.8951118,-77.0363658	
7/23/01 18:20	Washington, D.C.	DC	Fireball	15-20 Mins ?	Delta 434 reported flaming falling object which left a visible contrail.	9/6/02	38.8951118,-77.0363658	
7/23/01 18:17	Washington, D.C.	DC	Fireball	unknown	Ball of fire on the East Coast.	8/5/01	38.8951118,-77.0363658	
5/12/01 22:00	Washington, D.C.	DC	Fireball	20 mn	I was on my way to Washinton D.C. Getting to the entrance to the city  i was listening to my radio, my friend was driving and i was jus	9/6/02	38.8951118,-77.0363658	
5/11/01 14:55	Washington, D.C.	DC	Oval	15 minutes	Silver ball shape over DC.	9/6/02	38.8951118,-77.0363658	
