DateTime	City	State	Shape	Duration	Summary	Posted	Coordinates
6/19/07 15:00	Greenville	MS	Triangle	10 minutes	the dark triangle with strait edges remained steady height and speed while two other similar objects hovering very near it	8/7/07	33.3984413147,-91.0378036499	
5/31/07 10:24	Pascagoula	MS	Fireball	5 minutes	3 possible ufos over ocean?	8/7/07	30.3652801514,-88.5563964844	
5/12/07 23:22	Hernando	MS	Flash	seconds	star like object with bizaar flight path appearing to stair step across sky at a rapid rate	6/12/07	34.8235282898,-89.9972610474	
4/29/07 22:00	Lancaster (UK/England).	MS	Light	3 MINUTES	ORANGE LIGHT OVER IRISH SEA IN UK. SEEN TO ACCELERATE AWAY	6/12/07	31.5585975647,-89.0833816528	
4/15/07 22:19	McComb	MS	Diamond	45 seconds	fishing for ufo's	4/27/07	31.2457408905,-90.4540786743	
4/1/07 23:22	Greenwood	MS	Triangle		It was triangular in shape and it was silent, but seemed to be only a hundred yards above me.	4/27/07	33.5171089172,-90.1804275513	
3/30/07 04:30		MS	Sphere	5 minutes	White luminous Sphere	4/27/07	32.7106018066,-89.6525421143	
2/16/07 20:30	Paris	MS	Unknown	2 hours	Bizarre lights in northern Mississippi	8/7/07	34.1783409119,-89.4552536011	
1/26/07 21:30	Summit	MS	Unknown	5 mins	2 large bright orange lights	2/1/07	31.2872009277,-90.4680480957	
1/10/07 21:00	Greenwood	MS	Circle	10 seconds	Spinning circular yellow disc with neon light fell rapidly towards earth.	2/1/07	33.5171089172,-90.1804275513	
1/8/07 23:00	Tupelo	MS	Circle	10-15 seconds	About 11:00 PM on 1-8-07 a ball of light about 4-5 times bigger than a star steadily rose upward slowly in the west sky and disappeared	2/1/07	34.2574081421,-88.7078323364	
1/3/07 23:00	Marks	MS	Disk	2 Hours	Lighted objects silently flew in from S to N, many in northern sky, no more than few hundred feet up	1/5/11	34.2541999817,-90.2745666504	
1/2/07 18:00	Columbus	MS	Light	1 minute	A bright, unblinking green light streaked across the sky at a high rate of speed.	4/27/07	33.4950294495,-88.4288024902	
12/13/06 21:20	Walls	MS	Unknown	15-20 seconds	Dark amber colored object flying at a high rate of speed	2/1/07	34.9584197998,-90.1522064209	
12/6/06 20:45	Lucedale	MS	Triangle	3-5mins	Large trianglar object with blue lights on the underside hoovering over the northwest side of Lucedale, MS at 20:45 p.m. on 12/06/06.	12/14/06	30.9243297577,-88.5928573608	
11/20/06 01:00	Hattiesburg	MS	Other	throughout the night	I would like to bring something to your attention.  You might already know this.  ((NUFORC Note:  Possibly a sighting of Sirius.  PD))	12/7/06	31.3273506165,-89.2907104492	
11/19/06 05:00	Hattiesburg	MS	Light	4 MINUTES	LIGHT MOVING SLOWLY IN WESTERN SKY AT 5:30AM MOVING TO THE NORTH W/O ANY TRAILS	12/7/06	31.3273506165,-89.2907104492	
11/5/06 22:00	Vancleave	MS	Light	1-2 hours	flashing erractic moving light in the sky	12/7/06	30.5406894684,-88.6876602173	
